Tabela;CampoOrigem;Sequencia;CampoDestino;Regra;Fase
ZZ1;ZZ1_FORNEC;001;ZZ1_NOMEFO;"POSICIONE(""SA2"",1,xFilial(""SA2"")+M->ZZ1_FORNEC+M->ZZ1_LOJAFO,""A2_NOME"")";3
ZZ2;ZZ2_CONFOR;001;ZZ2_FORNEC;"POSICIONE(""ZZ1"",1,xFilial(""ZZ1"")+M->ZZ2_CONFOR,""ZZ1_FORNEC"")";3
ZZ2;ZZ2_CONFOR;002;ZZ2_LOJAFO;"POSICIONE(""ZZ1"",1,xFilial(""ZZ1"")+M->ZZ2_CONFOR,""ZZ1_LOJAFO"")";3
ZZ2;ZZ2_CONFOR;003;ZZ2_NOMEFO;"POSICIONE(""SA2"",1,xFilial(""SA2"")+M->ZZ2_FORNEC+M->ZZ2_LOJAFO,""A2_NOME"")";3
ZZ2;ZZ2_DATA;001;ZZ2_DATA;IF(INCLUI, dDataBase, ZZ2->ZZ2_DATA);3
ZZ2;ZZ2_HORA;001;ZZ2_HORA;IF(INCLUI, Time(), ZZ2->ZZ2_HORA);3
