Prefixo;Nome;Path;Descricao;ModoAcesso
ZZ1;ZZ1990;\DATA\;Controle de Fornecimento;Compartilhado
ZZ2;ZZ2990;\DATA\;Ocorrencias do Fornecedor;Compartilhado
